trial,total_trials,n_estimators,max_depth,min_samples_leaf,max_features,mse_x,mse_y,mse_avg,trial_time_sec,elapsed_total_sec,eta_sec,is_best
1,27,200,9,1,sqrt,0.035083357244729996,0.03582547977566719,0.03545441851019859,216.64997482299805,216.64998292922974,5632.899556159973,1
2,27,200,9,5,sqrt,0.03504320979118347,0.035806912928819656,0.035425061360001564,249.85678577423096,466.509911775589,5831.373897194862,1
3,27,200,9,10,sqrt,0.03508106619119644,0.035838134586811066,0.035459600389003754,229.37908720970154,695.8894758224487,5567.11580657959,0
4,27,200,12,1,sqrt,0.0349653959274292,0.03574369475245476,0.03535454533994198,291.52332162857056,987.4185345172882,5677.656573474407,1
5,27,200,12,5,sqrt,0.0349469855427742,0.035745054483413696,0.03534602001309395,293.30597162246704,1280.747193813324,5635.287652778625,1
6,27,200,12,10,sqrt,0.03493751585483551,0.03576463460922241,0.03535107523202896,294.4067187309265,1575.1548647880554,5513.042026758194,0
7,27,200,16,1,sqrt,0.03505370765924454,0.03588969260454178,0.03547170013189316,1259.0526995658875,2834.2086374759674,8097.73896421705,0
8,27,200,16,5,sqrt,0.03510793671011925,0.035920944064855576,0.03551444038748741,1602.0772714614868,4436.289211034775,10536.18687620759,0
9,27,200,16,10,sqrt,0.03508623689413071,0.03591261804103851,0.03549942746758461,990.848494052887,5427.139724969864,10854.279449939728,0
10,27,300,9,1,sqrt,0.03503599390387535,0.035821814090013504,0.03542890399694443,346.675252199173,5773.815448522568,9815.486262488364,0
11,27,300,9,5,sqrt,0.035037826746702194,0.03582717105746269,0.03543249890208244,360.78105640411377,6134.597005844116,8923.050190318714,0
12,27,300,9,10,sqrt,0.035063959658145905,0.03584126755595207,0.03545261360704899,940.8397641181946,7075.437303066254,8844.296628832817,0
13,27,300,12,1,sqrt,0.03493557125329971,0.035718247294425964,0.03532690927386284,934.6115026473999,8010.064977884293,8626.223822336931,1
14,27,300,12,5,sqrt,0.03492693975567818,0.03573889285326004,0.03533291630446911,450.1663999557495,8460.23218202591,7855.929883309774,0
15,27,300,12,10,sqrt,0.03492439538240433,0.03576601296663284,0.035345204174518585,1311.7973868846893,9772.030421257019,7817.624337005616,0
16,27,300,16,1,sqrt,0.035034745931625366,0.03587252274155617,0.03545363433659077,543.007266998291,10315.038178682327,7091.5887478441,0
17,27,300,16,5,sqrt,0.03505662456154823,0.035890135914087296,0.035473380237817764,989.3535342216492,11304.392320871353,6649.6425416890315,0
18,27,300,16,10,sqrt,0.03507065027952194,0.03589332476258278,0.03548198752105236,1044.432597398758,12348.827155590057,6174.413577795029,0
19,27,400,9,1,sqrt,0.035019416362047195,0.03582824021577835,0.03542382828891277,473.50812792778015,12822.33589053154,5398.87826969749,0
20,27,400,9,5,sqrt,0.035051822662353516,0.035832133144140244,0.03544197790324688,1351.3577766418457,14173.694249629974,4960.792987370492,0
21,27,400,9,10,sqrt,0.03506536781787872,0.03584306314587593,0.03545421548187733,528.3769147396088,14702.073042154312,4200.592297758375,0
22,27,400,12,1,sqrt,0.03491204231977463,0.035717811435461044,0.035314926877617836,585.6471514701843,15287.742681980133,3474.4869731773033,1
23,27,400,12,5,sqrt,0.034914396703243256,0.03573592007160187,0.03532515838742256,588.4187743663788,15876.162060022354,2761.071662612583,0
24,27,400,12,10,sqrt,0.03492339700460434,0.03577541932463646,0.0353494081646204,584.9660470485687,16461.128932237625,2057.641116529703,0
25,27,400,16,1,sqrt,0.0350237675011158,0.03586399555206299,0.035443881526589394,698.6263213157654,17159.755840063095,1372.7804672050477,0
26,27,400,16,5,sqrt,0.035026516765356064,0.03587166965007782,0.03544909320771694,873.2160923480988,18032.972508907318,693.5758657272046,0
27,27,400,16,10,sqrt,0.03505534678697586,0.03588678315281868,0.03547106496989727,1239.453452348709,19272.428768634796,0.0,0
