seq,vx,vy,avg,ate,rte
a001_2,0.016098,0.011217,0.013657,5.355272,2.689678
a003_3,0.028212,0.025446,0.026829,3.390810,3.316639
a004_3,0.011623,0.012890,0.012256,2.699712,2.049257
a005_3,0.033854,0.037389,0.035622,6.639400,3.858134
a009_1,0.035774,0.039875,0.037825,3.557257,2.333238
a010_2,0.013909,0.009084,0.011497,4.087695,2.669235
a011_2,0.017648,0.017121,0.017384,5.450447,5.271379
a012_2,0.028883,0.032046,0.030465,4.725033,2.570703
a013_2,0.015991,0.015591,0.015791,4.901048,1.989813
a014_2,0.026368,0.019436,0.022902,4.186170,2.746788
a016_1,0.018283,0.017088,0.017685,3.019914,1.276957
a017_2,0.020876,0.016239,0.018558,1.373753,1.602540
a020_2,0.026984,0.030846,0.028915,3.768520,3.435606
a021_2,0.016631,0.015334,0.015983,4.801024,2.103165
a022_2,0.050750,0.047461,0.049106,5.804532,3.685539
a023_1,0.012789,0.010905,0.011847,2.191548,1.594668
a025_2,0.058232,0.046211,0.052222,3.897627,4.726543
a026_2,0.016176,0.010178,0.013177,2.962608,2.426785
a027_2,0.014243,0.013356,0.013800,2.399226,1.748032
a030_3,0.013265,0.018488,0.015876,3.117580,2.179469
a031_2,0.008194,0.028122,0.018158,2.710511,1.447096
a033_2,0.012909,0.008974,0.010941,4.630849,1.736189
a035_3,0.011892,0.012492,0.012192,2.792967,2.276899
a036_2,0.022839,0.011960,0.017400,3.853285,3.761758
a037_1,0.004963,0.004942,0.004953,0.946291,0.932576
a038_2,0.004934,0.005361,0.005147,1.706727,1.176853
a044_2,0.017714,0.025863,0.021788,5.309940,2.595921
a046_2,0.033044,0.111378,0.072211,7.335515,8.899682
a047_2,0.007614,0.009612,0.008613,2.546997,1.707317
a000_7,0.011656,0.013508,0.012582,1.964928,2.460820
a000_11,0.017746,0.011847,0.014796,5.344474,4.438670
a059_2,0.014429,0.019272,0.016850,3.409089,1.959304
