seq,vx,vy,avg,ate,rte
a006_2,0.017784,0.021625,0.019704,4.800051,3.094904
a019_3,0.085624,0.045196,0.065410,6.867497,5.601283
a024_1,0.071678,0.056770,0.064224,3.964958,2.403601
a024_3,0.027686,0.023738,0.025712,4.332248,2.443893
a029_1,0.100993,0.039721,0.070357,4.434910,6.304011
a029_2,0.020253,0.012441,0.016347,2.374767,2.700354
a032_1,0.036650,0.034342,0.035496,4.880849,5.980256
a032_3,0.127698,0.143540,0.135619,14.964338,8.937882
a042_2,0.054017,0.032013,0.043015,3.931713,5.090350
a049_1,0.038908,0.049582,0.044245,3.343208,5.172592
a049_2,0.015989,0.019115,0.017552,3.076414,2.312679
a049_3,0.018021,0.021101,0.019561,3.479509,3.105755
a050_1,0.052769,0.053077,0.052923,12.406779,7.306695
a050_3,0.052843,0.084643,0.068743,11.044580,6.485012
a051_1,0.035352,0.040001,0.037676,7.572552,4.837721
a051_2,0.011370,0.009001,0.010186,4.029661,1.662334
a051_3,0.017082,0.011561,0.014321,1.104819,1.198759
a052_2,0.081227,0.114196,0.097711,5.426899,7.190046
a053_1,0.023488,0.014279,0.018884,2.411383,3.384949
a053_2,0.009886,0.018396,0.014141,3.560741,2.725358
a053_3,0.009438,0.017459,0.013449,2.803937,2.658204
a054_1,0.041222,0.024336,0.032779,4.656654,4.397914
a054_2,0.017780,0.025239,0.021510,3.829532,3.089797
a054_3,0.031620,0.036906,0.034263,4.800460,3.977326
a055_2,0.075672,0.091500,0.083586,9.037979,4.763669
a055_3,0.102172,0.096299,0.099235,3.958434,5.346217
a057_1,0.083008,0.076639,0.079824,5.881058,7.546730
a057_2,0.048176,0.036848,0.042512,5.573945,3.140309
a057_3,0.043520,0.051071,0.047295,10.877469,4.455427
a058_1,0.101146,0.023895,0.062521,4.565556,8.150592
a058_2,0.010258,0.014598,0.012428,2.076927,3.083455
a058_3,0.031758,0.039329,0.035544,3.318320,4.370852
